[2025-10-16 17:46:28] ✅ All tables dropped and created successfully.
[2025-10-16 17:46:50] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2020\1.json
[2025-10-16 17:46:50] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2020\2.json
[2025-10-16 17:46:51] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2020\3.json
[2025-10-16 17:46:51] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2020\4.json
[2025-10-16 17:46:51] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2021\1.json
[2025-10-16 17:46:52] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2021\2.json
[2025-10-16 17:46:52] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2021\3.json
[2025-10-16 17:46:53] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2021\4.json
[2025-10-16 17:46:53] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2022\1.json
[2025-10-16 17:46:53] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2022\2.json
[2025-10-16 17:46:53] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2022\3.json
[2025-10-16 17:46:54] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2022\4.json
[2025-10-16 17:46:54] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2023\1.json
[2025-10-16 17:46:55] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2023\2.json
[2025-10-16 17:46:55] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2023\3.json
[2025-10-16 17:46:55] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2023\4.json
[2025-10-16 17:46:56] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2024\1.json
[2025-10-16 17:46:56] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2024\2.json
[2025-10-16 17:46:56] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2024\3.json
[2025-10-16 17:46:57] ✅ Inserted 5 rows for aggregated_transaction: D:\Labmentix\Phone Pay\pulse\data\aggregated\transaction\country\india\state\andhra-pradesh\2024\4.json
